euctr_id,other_id,field,provenance
2020-004102-63,NA,ISRCTN number,results_page
2020-001493-29,NA,US NCT number,download
2020-001493-29,NA,other,downlaod
2020-001493-29,NA,US NCT number,results_page
2020-001493-29,NA,ISRCTN number,results_page
2019-004223-20,NA,US NCT number,download
2019-004223-20,NA,other,downlaod
2019-004223-20,NA,US NCT number,results_page
2019-004223-20,NA,ISRCTN number,results_page
2019-001235-31,NA,US NCT number,download
2019-001235-31,NA,other,downlaod
2019-001235-31,NA,US NCT number,results_page
2019-001235-31,NA,ISRCTN number,results_page
2018-004254-22,NA,US NCT number,download
2018-004254-22,NA,other,downlaod
2018-004254-22,NA,US NCT number,results_page
2018-004254-22,NA,ISRCTN number,results_page
2018-004136-30,NA,US NCT number,download
2018-004136-30,NA,other,downlaod
2018-004136-30,NA,US NCT number,results_page
2018-004136-30,NA,ISRCTN number,results_page
2018-002947-27,NA,US NCT number,download
2018-002947-27,NA,other,downlaod
2018-002947-27,NA,US NCT number,results_page
2018-002947-27,NA,ISRCTN number,results_page
2018-002938-20,NA,US NCT number,download
2018-002938-20,NA,other,downlaod
2018-002938-20,NA,US NCT number,results_page
2018-002938-20,NA,ISRCTN number,results_page
2018-000492-32,NA,US NCT number,download
2018-000492-32,NA,other,downlaod
2018-000492-32,NA,US NCT number,results_page
2018-000492-32,NA,ISRCTN number,results_page
2017-005151-83,NA,US NCT number,download
2017-005151-83,NA,other,downlaod
2017-005151-83,NA,US NCT number,results_page
2017-005151-83,NA,ISRCTN number,results_page
2017-004149-26,NA,US NCT number,download
2017-004149-26,NA,other,downlaod
2017-004149-26,NA,US NCT number,results_page
2017-004149-26,NA,ISRCTN number,results_page
2017-003813-24,NA,US NCT number,download
2017-003813-24,NA,other,downlaod
2017-003813-24,NA,US NCT number,results_page
2017-003813-24,NA,ISRCTN number,results_page
2017-002124-24,NCT03083431,US NCT number,download
2017-002124-24,other Study ID No 01GM1703,other,downlaod
2017-002124-24,NA,US NCT number,results_page
2017-002124-24,NA,ISRCTN number,results_page
2017-001262-25,NA,US NCT number,download
2017-001262-25,NA,other,downlaod
2017-001262-25,NA,US NCT number,results_page
2017-001262-25,NA,ISRCTN number,results_page
2017-000697-11,NA,US NCT number,download
2017-000697-11,NA,other,downlaod
2017-000697-11,NA,US NCT number,results_page
2017-000697-11,NA,ISRCTN number,results_page
2017-000058-21,NCT03463317,US NCT number,download
2017-000058-21,NA,other,downlaod
2017-000058-21,NA,US NCT number,results_page
2017-000058-21,NA,ISRCTN number,results_page
2016-003802-14,NA,US NCT number,download
2016-003802-14,NA,other,downlaod
2016-003802-14,NA,US NCT number,results_page
2016-003802-14,NA,ISRCTN number,results_page
2016-003175-22,NA,US NCT number,download
2016-003175-22,NA,other,downlaod
2016-003175-22,NA,US NCT number,results_page
2016-003175-22,NA,ISRCTN number,results_page
2015-005757-12,NA,US NCT number,download
2015-005757-12,NA,other,downlaod
2015-005757-12,NA,US NCT number,results_page
2015-005757-12,NA,ISRCTN number,results_page
2015-004172-30,NA,US NCT number,download
2015-004172-30,NA,other,downlaod
2015-004172-30,NA,US NCT number,results_page
2015-004172-30,NA,ISRCTN number,results_page
2015-003429-32,NA,US NCT number,download
2015-003429-32,NA,other,downlaod
2015-003429-32,NA,US NCT number,results_page
2015-003429-32,NA,ISRCTN number,results_page
2014-003457-34,NA,US NCT number,download
2014-003457-34,NA,other,downlaod
2014-003457-34,NA,US NCT number,results_page
2014-003457-34,NA,ISRCTN number,results_page
2014-002439-32,NA,US NCT number,download
2014-002439-32,NA,other,downlaod
2014-002439-32,NA,US NCT number,results_page
2014-002439-32,NA,ISRCTN number,results_page
2014-000097-19,NA,US NCT number,download
2014-000097-19,NA,other,downlaod
2014-000097-19,NA,US NCT number,results_page
2014-000097-19,NA,ISRCTN number,results_page
2013-001599-40,NA,US NCT number,download
2013-001599-40,DRKS DRKS00004858,other,downlaod
2013-001599-40,NA,US NCT number,results_page
2013-001599-40,NA,ISRCTN number,results_page
2013-001294-24,NA,US NCT number,download
2013-001294-24,NA,other,downlaod
2013-001294-24,NCT02371434,US NCT number,results_page
2013-001294-24,NA,ISRCTN number,results_page
2012-001209-26,NA,US NCT number,download
2012-001209-26,NA,other,downlaod
2012-001209-26,NA,US NCT number,results_page
2012-001209-26,NA,ISRCTN number,results_page
2012-000810-12,NA,US NCT number,download
2012-000810-12,NA,other,downlaod
2012-000810-12,NA,US NCT number,results_page
2012-000810-12,NA,ISRCTN number,results_page
2012-000793-30,NCT01802814,US NCT number,download
2012-000793-30,NA,other,downlaod
2012-000793-30,NA,US NCT number,results_page
2012-000793-30,NA,ISRCTN number,results_page
2011-000259-17,NA,US NCT number,download
2011-000259-17,NA,other,downlaod
2011-000259-17,NA,US NCT number,results_page
2011-000259-17,NA,ISRCTN number,results_page
2009-014844-13,NA,US NCT number,download
2009-014844-13,NA,other,downlaod
2009-014844-13,NA,US NCT number,results_page
2009-014844-13,NA,ISRCTN number,results_page
2009-011277-33,NA,US NCT number,download
2009-011277-33,NA,other,downlaod
2009-011277-33,NA,US NCT number,results_page
2009-011277-33,NA,ISRCTN number,results_page
2009-009928-37,NA,US NCT number,download
2009-009928-37,NA,other,downlaod
2009-009928-37,NA,US NCT number,results_page
2009-009928-37,NA,ISRCTN number,results_page
2008-006055-52,NA,US NCT number,download
2008-006055-52,NA,other,downlaod
2008-006055-52,NA,US NCT number,results_page
2008-006055-52,NA,ISRCTN number,results_page
2007-003642-15,NA,US NCT number,download
2007-003642-15,NA,other,downlaod
2007-003642-15,NA,US NCT number,results_page
2007-003642-15,NA,ISRCTN number,results_page
2007-003370-26,NA,US NCT number,download
2007-003370-26,NA,other,downlaod
2007-003370-26,NA,US NCT number,results_page
2007-003370-26,NA,ISRCTN number,results_page
2006-006962-41,NA,US NCT number,download
2006-006962-41,NA,other,downlaod
2006-006962-41,NA,US NCT number,results_page
2006-006962-41,NA,ISRCTN number,results_page
2006-001269-40,NA,US NCT number,download
2006-001269-40,NA,other,downlaod
2006-001269-40,NA,US NCT number,results_page
2006-001269-40,NA,ISRCTN number,results_page
2004-002646-35,NA,US NCT number,download
2004-002646-35,NA,other,downlaod
2004-002646-35,NCT00568542,US NCT number,results_page
2004-002646-35,NA,ISRCTN number,results_page
2014-002643-18,NCT02453867,US NCT number,download
2014-002643-18,Centre for Evidence in Transplantation Approval CET010,other,downlaod
2014-002643-18,NA,US NCT number,results_page
2014-002643-18,NA,ISRCTN number,results_page
2014-001325-33,NA,US NCT number,download
2014-001325-33,NA,other,downlaod
2014-001325-33,NCT02540395,US NCT number,results_page
2014-001325-33,NA,ISRCTN number,results_page
2013-003542-17,NA,US NCT number,download
2013-003542-17,NA,other,downlaod
2013-003542-17,NA,US NCT number,results_page
2013-003542-17,NA,ISRCTN number,results_page
2007-007034-18,NA,US NCT number,download
2007-007034-18,NA,other,downlaod
2007-007034-18,NA,US NCT number,results_page
2007-007034-18,NA,ISRCTN number,results_page
2006-005778-34,NA,US NCT number,download
2006-005778-34,NA,other,downlaod
2006-005778-34,NA,US NCT number,results_page
2006-005778-34,NA,ISRCTN number,results_page
2004-002420-18,NA,US NCT number,download
2004-002420-18,NA,other,downlaod
2004-002420-18,NA,US NCT number,results_page
2004-002420-18,NA,ISRCTN number,results_page
