euctr_id,other_id,field,provenance
2011-004585-15,NA,ISRCTN number,results_page
2011-004463-69,NA,US NCT number,download
2011-004463-69,DRKS 00003246,other,downlaod
2011-004463-69,NA,US NCT number,results_page
2011-004463-69,NA,ISRCTN number,results_page
2011-004393-28,NA,US NCT number,download
2011-004393-28,NA,other,downlaod
2011-004393-28,NA,US NCT number,results_page
2011-004393-28,NA,ISRCTN number,results_page
2011-004094-93,NA,US NCT number,download
2011-004094-93,NA,other,downlaod
2011-004094-93,NA,US NCT number,results_page
2011-004094-93,NA,ISRCTN number,results_page
2011-003746-41,NA,US NCT number,download
2011-003746-41,NA,other,downlaod
2011-003746-41,NA,US NCT number,results_page
2011-003746-41,NA,ISRCTN number,results_page
2011-002785-20,NA,US NCT number,download
2011-002785-20,NA,other,downlaod
2011-002785-20,NA,US NCT number,results_page
2011-002785-20,NA,ISRCTN number,results_page
2011-001689-16,NA,US NCT number,download
2011-001689-16,German Register of Clinical Trials DRKS00000796,other,downlaod
2011-001689-16,NA,US NCT number,results_page
2011-001689-16,ISRCTN46445413,ISRCTN number,results_page
2011-001474-25,NA,US NCT number,download
2011-001474-25,NA,other,downlaod
2011-001474-25,NA,US NCT number,results_page
2011-001474-25,NA,ISRCTN number,results_page
2011-001403-12,NA,US NCT number,download
2011-001403-12,NA,other,downlaod
2011-001403-12,NCT01370044,US NCT number,results_page
2011-001403-12,NA,ISRCTN number,results_page
2011-001398-19,NA,US NCT number,download
2011-001398-19,NA,other,downlaod
2011-001398-19,NCT01928823,US NCT number,results_page
2011-001398-19,NA,ISRCTN number,results_page
2011-001232-27,NA,US NCT number,download
2011-001232-27,NA,other,downlaod
2011-001232-27,NA,US NCT number,results_page
2011-001232-27,NA,ISRCTN number,results_page
2011-001027-20,NA,US NCT number,download
2011-001027-20,NA,other,downlaod
2011-001027-20,NCT02204293,US NCT number,results_page
2011-001027-20,NA,ISRCTN number,results_page
2011-000844-56,NCT01330901,US NCT number,download
2011-000844-56,NA,other,downlaod
2011-000844-56,NA,US NCT number,results_page
2011-000844-56,NA,ISRCTN number,results_page
2010-024379-15,NA,US NCT number,download
2010-024379-15,NA,other,downlaod
2010-024379-15,NCT01503372,US NCT number,results_page
2010-024379-15,NA,ISRCTN number,results_page
2010-024156-28,NA,US NCT number,download
2010-024156-28,NA,other,downlaod
2010-024156-28,NA,US NCT number,results_page
2010-024156-28,NA,ISRCTN number,results_page
2010-023941-31,NA,US NCT number,download
2010-023941-31,NA,other,downlaod
2010-023941-31,NCT01357681,US NCT number,results_page
2010-023941-31,NA,ISRCTN number,results_page
2010-023044-32,NA,US NCT number,download
2010-023044-32,NA,other,downlaod
2010-023044-32,NA,US NCT number,results_page
2010-023044-32,NA,ISRCTN number,results_page
2010-021861-62,NA,US NCT number,download
2010-021861-62,NA,other,downlaod
2010-021861-62,NCT01266655,US NCT number,results_page
2010-021861-62,NA,ISRCTN number,results_page
2010-021775-80,NA,US NCT number,download
2010-021775-80,NA,other,downlaod
2010-021775-80,NCT01466465,US NCT number,results_page
2010-021775-80,NA,ISRCTN number,results_page
2010-021604-16,NA,US NCT number,download
2010-021604-16,NA,other,downlaod
2010-021604-16,NA,US NCT number,results_page
2010-021604-16,NA,ISRCTN number,results_page
2010-021275-92,NA,US NCT number,download
2010-021275-92,NA,other,downlaod
2010-021275-92,NA,US NCT number,results_page
2010-021275-92,NA,ISRCTN number,results_page
2010-021001-21,NA,US NCT number,download
2010-021001-21,NA,other,downlaod
2010-021001-21,NA,US NCT number,results_page
2010-021001-21,NA,ISRCTN number,results_page
2010-020480-21,NA,US NCT number,download
2010-020480-21,NA,other,downlaod
2010-020480-21,NA,US NCT number,results_page
2010-020480-21,NA,ISRCTN number,results_page
2010-020433-13,NA,US NCT number,download
2010-020433-13,NA,other,downlaod
2010-020433-13,NA,US NCT number,results_page
2010-020433-13,NA,ISRCTN number,results_page
2010-020063-21,NA,US NCT number,download
2010-020063-21,NA,other,downlaod
2010-020063-21,NA,US NCT number,results_page
2010-020063-21,NA,ISRCTN number,results_page
2010-019347-18,NA,US NCT number,download
2010-019347-18,NA,other,downlaod
2010-019347-18,NA,US NCT number,results_page
2010-019347-18,NA,ISRCTN number,results_page
2010-019344-39,NA,US NCT number,download
2010-019344-39,NA,other,downlaod
2010-019344-39,NA,US NCT number,results_page
2010-019344-39,NA,ISRCTN number,results_page
2010-019218-26,NA,US NCT number,download
2010-019218-26,NA,other,downlaod
2010-019218-26,NA,US NCT number,results_page
2010-019218-26,NA,ISRCTN number,results_page
2010-018291-25,NCT01319370,US NCT number,download
2010-018291-25,NA,other,downlaod
2010-018291-25,NA,US NCT number,results_page
2010-018291-25,NA,ISRCTN number,results_page
2009-017739-17,NA,US NCT number,download
2009-017739-17,NA,other,downlaod
2009-017739-17,NA,US NCT number,results_page
2009-017739-17,NA,ISRCTN number,results_page
2009-017581-22,NA,US NCT number,download
2009-017581-22,NA,other,downlaod
2009-017581-22,NA,US NCT number,results_page
2009-017581-22,NA,ISRCTN number,results_page
2009-017458-11,NA,US NCT number,download
2009-017458-11,NA,other,downlaod
2009-017458-11,NA,US NCT number,results_page
2009-017458-11,NA,ISRCTN number,results_page
2009-016907-41,NA,US NCT number,download
2009-016907-41,NA,other,downlaod
2009-016907-41,NA,US NCT number,results_page
2009-016907-41,NA,ISRCTN number,results_page
2009-016482-28,NA,US NCT number,download
2009-016482-28,NA,other,downlaod
2009-016482-28,NA,US NCT number,results_page
2009-016482-28,NA,ISRCTN number,results_page
2009-016043-19,NA,US NCT number,download
2009-016043-19,NA,other,downlaod
2009-016043-19,NA,US NCT number,results_page
2009-016043-19,NA,ISRCTN number,results_page
2009-015319-41,NA,US NCT number,download
2009-015319-41,NA,other,downlaod
2009-015319-41,NA,US NCT number,results_page
2009-015319-41,NA,ISRCTN number,results_page
2009-014300-55,NA,US NCT number,download
2009-014300-55,NA,other,downlaod
2009-014300-55,NA,US NCT number,results_page
2009-014300-55,NA,ISRCTN number,results_page
